date,count
2022-05-11,307
2022-05-12,254
2022-05-13,266
2022-05-14,229
2022-05-15,282
2022-05-16,346
2022-05-17,303
2022-05-18,310
2022-05-19,322
2022-05-20,247
2022-05-21,185
2022-05-22,250
2022-05-23,279
2022-05-24,234
2022-05-25,270
2022-05-26,206
2022-05-27,277
2022-05-28,279
2022-05-29,199
2022-05-30,288
2022-05-31,378
2022-06-01,352
2022-06-02,278
2022-06-03,413
2022-06-04,198
2022-06-05,301
2022-06-06,360
2022-06-07,228
2022-06-08,266
2022-06-09,286
2022-06-10,217
2022-06-11,247
2022-06-12,211
2022-06-13,2896
2022-06-14,381
2022-06-15,301
2022-06-16,268
2022-06-17,176
2022-06-18,175
2022-06-19,221
2022-06-20,518
2022-06-21,290
2022-06-22,644
2022-06-23,218
2022-06-24,208
2022-06-25,126
2022-06-26,125
2022-06-27,190
2022-06-28,216
2022-06-29,225
2022-06-30,244
2022-07-01,281
2022-07-02,305
2022-07-03,262
2022-07-04,312
2022-07-05,293
2022-07-06,519
2022-07-07,430
2022-07-08,456
2022-07-09,253
2022-07-10,247
2022-07-11,268
2022-07-12,394
2022-07-13,407
2022-07-14,458
2022-07-15,370
2022-07-16,313
2022-07-17,265
2022-07-18,338
2022-07-19,575
2022-07-20,402
2022-07-21,2121
2022-07-22,264
2022-07-23,279
2022-07-24,1149
2022-07-25,412
2022-07-26,13759
2022-07-27,415
2022-07-28,399
2022-07-29,297
2022-07-30,316
2022-07-31,284
2022-08-01,289
2022-08-02,307
2022-08-03,263
2022-08-04,535
2022-08-05,314
2022-08-06,228
2022-08-07,146
2022-08-08,259
2022-08-09,238
2022-08-10,309
2022-08-11,192
2022-08-12,172
2022-08-13,208
2022-08-14,937
2022-08-15,631
2022-08-16,901
2022-08-17,324
2022-08-18,342
2022-08-19,290
2022-08-20,240
2022-08-21,298
2022-08-22,361
2022-08-23,481
2022-08-24,548
2022-08-25,1237
2022-08-26,833
2022-08-27,468
2022-08-28,542
2022-08-29,322
2022-08-30,453
2022-08-31,389
2022-09-01,405
2022-09-02,357
2022-09-03,352
2022-09-04,236
2022-09-05,338
2022-09-06,410
2022-09-07,443
2022-09-08,298
2022-09-09,445
2022-09-10,260
2022-09-11,566
2022-09-12,1241
2022-09-13,535
2022-09-14,802
2022-09-15,824
2022-09-16,575
2022-09-17,562
2022-09-18,536
2022-09-19,432
2022-09-20,421
2022-09-21,530
2022-09-22,500
2022-09-23,430
2022-09-24,290
2022-09-25,264
2022-09-26,391
2022-09-27,439
2022-09-28,625
2022-09-29,471
2022-09-30,384
2022-10-01,426
2022-10-02,394
2022-10-03,940
2022-10-04,1134
2022-10-05,824
2022-10-06,604
2022-10-07,843
2022-10-08,375
2022-10-09,339
2022-10-10,711
2022-10-11,588
2022-10-12,365
2022-10-13,405
2022-10-14,481
2022-10-15,307
2022-10-16,451
2022-10-17,473
2022-10-18,501
2022-10-19,425
2022-10-20,384
2022-10-21,803
2022-10-22,268
2022-10-23,163
2022-10-24,263
2022-10-25,257
2022-10-26,331
2022-10-27,407
2022-10-28,6006
2022-10-29,368
2022-10-30,1004
2022-10-31,656
2022-11-01,447
2022-11-02,3178
2022-11-03,3749
2022-11-04,1229
2022-11-05,358
2022-11-06,259
2022-11-07,1001
2022-11-08,640
2022-11-09,291
2022-11-10,444
2022-11-11,425
2022-11-12,247
2022-11-13,614
2022-11-14,558
2022-11-15,724
2022-11-16,691
2022-11-17,743
2022-11-18,865
2022-11-19,512
2022-11-20,638
2022-11-21,818
2022-11-22,707
2022-11-23,659
2022-11-24,583
2022-11-25,2125
2022-11-26,523
2022-11-27,1814
2022-11-28,1775
2022-11-29,861
2022-11-30,795
2022-12-01,879
2022-12-02,968
2022-12-03,630
2022-12-04,412
2022-12-05,814
2022-12-06,1119
2022-12-07,1725
2022-12-08,982
2022-12-09,1043
2022-12-10,679
2022-12-11,550
2022-12-12,914
2022-12-13,834
2022-12-14,796
2022-12-15,724
2022-12-16,1006
2022-12-17,585
2022-12-18,378
2022-12-19,520
2022-12-20,676
2022-12-21,591
2022-12-22,747
2022-12-23,701
2022-12-24,1631
2022-12-25,461
2022-12-26,712
2022-12-27,697
2022-12-28,1194
2022-12-29,1152
2022-12-30,956
2022-12-31,642
2023-01-01,530
2023-01-02,522
2023-01-03,1100
2023-01-04,1640
2023-01-05,1403
2023-01-06,1686
2023-01-07,1556
2023-01-08,865
2023-01-09,950
2023-01-10,2393
2023-01-11,1942
2023-01-12,1296
2023-01-13,1570
2023-01-14,801
2023-01-15,674
2023-01-16,1263
2023-01-17,2010
2023-01-18,1586
2023-01-19,960
2023-01-20,1750
2023-01-21,1111
2023-01-22,733
2023-01-23,1143
2023-01-24,1674
2023-01-25,1091
2023-01-26,1040
2023-01-27,1936
2023-01-28,927
2023-01-29,608
2023-01-30,1488
2023-01-31,3866
2023-02-01,900
2023-02-02,1399
2023-02-03,1397
2023-02-04,584
2023-02-05,761
2023-02-06,669
2023-02-07,1353
2023-02-08,1250
2023-02-09,1736
2023-02-10,1747
2023-02-11,406
2023-02-12,323
2023-02-13,852
2023-02-14,870
2023-02-15,508
2023-02-16,2323
2023-02-17,1152
2023-02-18,461
2023-02-19,399
2023-02-20,1010
2023-02-21,1258
2023-02-22,683
2023-02-23,1296
2023-02-24,1249
2023-02-25,655
2023-02-26,656
2023-02-27,1634
2023-02-28,1678
2023-03-01,1378
2023-03-02,2048
2023-03-03,1751
2023-03-04,1408
2023-03-05,881
2023-03-06,1467
2023-03-07,1566
2023-03-08,1447
2023-03-09,1762
2023-03-10,1547
2023-03-11,2015
2023-03-12,1056
2023-03-13,918
2023-03-14,1319
2023-03-15,870
2023-03-16,1147
2023-03-17,1392
2023-03-18,517
2023-03-19,439
2023-03-20,906
2023-03-21,868
2023-03-22,1278
2023-03-23,834
2023-03-24,853
2023-03-25,428
2023-03-26,351
2023-03-27,834
2023-03-28,823
2023-03-29,1160
2023-03-30,1106
2023-03-31,924
2023-04-01,694
2023-04-02,529
2023-04-03,1004
2023-04-04,1170
2023-04-05,920
2023-04-06,1373
2023-04-07,1366
2023-04-08,656
2023-04-09,601
2023-04-10,915
2023-04-11,1189
2023-04-12,1426
2023-04-13,1267
2023-04-14,1623
2023-04-15,742
2023-04-16,516
2023-04-17,1222
2023-04-18,1862
2023-04-19,2165
2023-04-20,2438
2023-04-21,2066
2023-04-22,1142
2023-04-23,1127
2023-04-24,1326
2023-04-25,1775
2023-04-26,1594
2023-04-27,1571
2023-04-28,1452
2023-04-29,892
2023-04-30,1182
2023-05-01,2201
2023-05-02,1369
2023-05-03,1940
2023-05-04,1642
2023-05-05,1174
2023-05-06,1111
2023-05-07,1242
2023-05-08,2265
2023-05-09,1366
2023-05-10,1542
2023-05-11,1534
2023-05-12,2059
2023-05-13,1049
2023-05-14,944
2023-05-15,1563
2023-05-16,1284
2023-05-17,2083
2023-05-18,1617
2023-05-19,2059
2023-05-20,843
2023-05-21,633
2023-05-22,1333
2023-05-23,1455
2023-05-24,1522
2023-05-25,1366
2023-05-26,1332
2023-05-27,1075
2023-05-28,1009
2023-05-29,1413
2023-05-30,1417
2023-05-31,1131
2023-06-01,1668
2023-06-02,1690
2023-06-03,1152
2023-06-04,1417
2023-06-05,1298
2023-06-06,1554
2023-06-07,1750
2023-06-08,2440
2023-06-09,2532
2023-06-10,1747
2023-06-11,934
2023-06-12,1071
2023-06-13,1130
2023-06-14,1335
2023-06-15,1289
2023-06-16,1953
2023-06-17,1097
2023-06-18,783
2023-06-19,1556
2023-06-20,1825
2023-06-21,2179
2023-06-22,2002
2023-06-23,1404
2023-06-24,879
2023-06-25,917
2023-06-26,1968
2023-06-27,1748
2023-06-28,1476
2023-06-29,1424
2023-06-30,1577
2023-07-01,1863
2023-07-02,1260
2023-07-03,1358
2023-07-04,1595
2023-07-05,1946
2023-07-06,1377
2023-07-07,1716
2023-07-08,1350
2023-07-09,1504
2023-07-10,1587
2023-07-11,1676
2023-07-12,2305
2023-07-13,2523
2023-07-14,1969
2023-07-15,1195
2023-07-16,1168
2023-07-17,1746
2023-07-18,2297
2023-07-19,1887
2023-07-20,1605
2023-07-21,1504
2023-07-22,1106
2023-07-23,1320
